category,component,usage_percentage
Primary Display Resolution,1470 x 956,0.39%
Primary Display Resolution,1512 x 982,0.28%
Primary Display Resolution,1600 x 900,0.70%
Primary Display Resolution,1680 x 1050,0.44%
Primary Display Resolution,1920 x 1200,2.18%
Primary Display Resolution,1920 x 1080,52.59%
Primary Display Resolution,2560 x 1440,21.32%
Primary Display Resolution,2560 x 1600,4.81%
Primary Display Resolution,2560 x 1080,0.75%
Primary Display Resolution,2880 x 1800,0.45%
Primary Display Resolution,3440 x 1440,3.10%
Primary Display Resolution,3840 x 2160,4.95%
Primary Display Resolution,5120 x 1440,0.40%
Primary Display Resolution,Other,2.72%
Multi-Monitor Desktop Resolution,1920 x 2160,1.58%
Multi-Monitor Desktop Resolution,2560 x 2520,1.08%
Multi-Monitor Desktop Resolution,3000 x 1920,5.46%
Multi-Monitor Desktop Resolution,3200 x 1080,1.68%
Multi-Monitor Desktop Resolution,3280 x 1080,1.02%
Multi-Monitor Desktop Resolution,3286 x 1080,2.12%
Multi-Monitor Desktop Resolution,3360 x 1080,1.08%
Multi-Monitor Desktop Resolution,3440 x 2520,0.64%
Multi-Monitor Desktop Resolution,3440 x 2880,0.42%
Multi-Monitor Desktop Resolution,3520 x 1080,1.42%
Multi-Monitor Desktop Resolution,3600 x 1080,0.94%
Multi-Monitor Desktop Resolution,3640 x 1920,4.38%
Multi-Monitor Desktop Resolution,3840 x 1080,50.14%
Multi-Monitor Desktop Resolution,3840 x 1081,1.08%
Multi-Monitor Desktop Resolution,3840 x 1082,0.62%
Multi-Monitor Desktop Resolution,3840 x 1083,0.92%
Multi-Monitor Desktop Resolution,3840 x 1084,0.72%
Multi-Monitor Desktop Resolution,3840 x 1085,0.60%
Multi-Monitor Desktop Resolution,3840 x 1086,0.56%
Multi-Monitor Desktop Resolution,3840 x 1200,1.74%
Multi-Monitor Desktop Resolution,3840 x 2160,0.98%
Multi-Monitor Desktop Resolution,4000 x 2560,1.66%
Multi-Monitor Desktop Resolution,4480 x 1080,1.30%
Multi-Monitor Desktop Resolution,4480 x 1440,27.14%
Multi-Monitor Desktop Resolution,4480 x 1445,0.46%
Multi-Monitor Desktop Resolution,4480 x 1600,1.18%
Multi-Monitor Desktop Resolution,4520 x 1920,0.92%
Multi-Monitor Desktop Resolution,4880 x 2560,0.50%
Multi-Monitor Desktop Resolution,4920 x 1920,0.80%
