app_id,game_name,os,processor,memory,graphics,directx,storage
813780,Age of Empires II: Definitive Edition,Windows 10 64bit,2.4 Ghz i5 or greater or AMD equivalent,8 GB RAM,Nvidia® GTX 650 or AMD HD 5850 or better,"Version 11
Network:
Broadband Internet connection",15 GB available space
3164500,Schedule I,Windows 10 (64-bit),3.5GHz 6-Core or similar,16 GB RAM,GeForce RTX 3060 or Radeon RX 6700,,8 GB available space
268500,XCOM® 2,"*:
Windows® 7, 64-bit",3GHz Quad Core,8 GB RAM,"2GB ATI Radeon HD 7970, 2GB NVIDIA GeForce GTX 770 or better",compatible,45 GB available space
582660,Black Desert,Windows 10 (64-bit),"Intel Core i5 (8th Generation), AMD Ryzen 5 2000 Series",16 GB RAM,"GeForce GTX 1660 Super
Network:
Broadband Internet connection",,80 GB available space
2399830,ARK: Survival Ascended,Windows 10/11 with updates,"AMD Ryzen 5 3600X, Intel i5-10600K",32 GB RAM,"AMD Radeon RX 6800, NVIDIA GeForce RTX 3080","Version 12
Network:
Broadband Internet connection",180 GB available space
648800,Raft,"*:
Windows 7 or later",Intel Core i5-6600 3.3GHz or similar,8 GB RAM,GeForce GTX 1050 series or similar,"Version 11
Network:
Broadband Internet connection",10 GB available space
1151340,Fallout 76,"*:
Windows 8.1/10 (64-bit versions)",Intel Core i7-4790 3.6 GHz /AMD Ryzen 5 1500X 3.5 GHz,8 GB RAM,"NVIDIA GTX 970 4GB /AMD R9 290X 4GB
Network:
Broadband Internet connection",,96 GB available space
236390,War Thunder,Windows 10/11 (64bit),Intel Core i5 or Ryzen 5 3600 or better,16 GB RAM,,"11 level video card or higher and drivers: Nvidia GeForce 1060 and higher, Radeon RX 570 and higher
DirectX:
Version 12
Network:
Broadband Internet connection",95 GB available space
1295660,Sid Meier's Civilization VII,Win 10 64 Bit,Intel Core i5-10400 / AMD Ryzen 5 3600X,16 GB RAM,NVIDIA RTX 2060 / AMD RX 6600 / Intel Arc A750,Version 12,20 GB available space
739630,Phasmophobia,Windows 10 64Bit,Intel Core i5-10600 / AMD Ryzen 5 3600,8 GB RAM,NVIDIA RTX 2060 / AMD Radeon RX 5700,"Version 11
Network:
Broadband Internet connection",21 GB available space
1938090,Call of Duty®,Windows® 11 64 Bit (latest update),AMD Ryzen™ 5 1600X or Intel® Core™ i7-6700K,12 GB RAM,"AMD Radeon™ RX 6600XT, NVIDIA® GeForce® RTX 3060 or Intel® Arc™ B580","Version 12
Network:
Broadband Internet connection
Additional Notes:
SSD with 161 GB available space at launch",
2767030,Marvel Rivals,Windows 10 64-bit (1909 or newer),Intel Core i5-10400 or AMD Ryzen 5 5600X,16 GB RAM,NVIDIA GeForce RTX 2060 (Super) / AMD RX 5700-XT / Intel Arc A750,"Version 12
Network:
Broadband Internet connection",70 GB available space
2141910,Magic: The Gathering Arena,Windows 10,Intel Core2 Quad Q9300 @ 2.50GHz,4 GB RAM,"GeForce GTX 560
Network:
Broadband Internet connection",,
1172470,Apex Legends™,64-bit Windows 10,Ryzen 5 CPU or Equivalent,8 GB RAM,"AMD Radeon™ R9 290, NVIDIA GeForce® GTX 970","Version 12
Network:
Broadband Internet connection",75 GB available space
1903340,Clair Obscur: Expedition 33,Windows 11,Intel Core i7-12700K / AMD Ryzen 7 5800X,16 GB RAM,NVIDIA GeForce RTX 3060 Ti 8 GB / AMD Radeon RX 6800 XT 16 GB,Version 12,55 GB available space
3606480,Call of Duty®: Black Ops 7,Windows® 11 64 Bit (latest update),AMD Ryzen™ 5 1600X or Intel® Core™ i7-6700K,12 GB RAM,"AMD Radeon™ RX 6600XT, NVIDIA® GeForce® RTX 3060 or Intel® Arc™ B580","Version 12
Network:
Broadband Internet connection
Additional Notes:
SSD with 161 GB available space at launch",
1551360,Forza Horizon 5,Windows 10 version 18362.0 or higher,Intel i5-8400 or AMD Ryzen 5 1500X,16 GB RAM,"NVidia GTX 1070, AMD RX 590, OR Intel Arc A750","Version 12
Network:
Broadband Internet connection",110 GB available space
2840770,Avatar: Frontiers of Pandora™,Windows 10/11 (64-bit versions),"AMD Ryzen 5 5600X @ 3.7 GHz, Intel Core i5-11600K @ 3.9 GHz, or better",16 GB RAM,"AMD Radeon RX 6700 XT (12 GB), NVIDIA GeForce RTX 3060 Ti (8 GB), or better",Version 12,90 GB available space
1142710,Total War: WARHAMMER III,Windows 10 64-bit,Intel i5/Ryzen 5 series,8 GB RAM,Nvidia GeForce GTX 1660 Ti/AMD RX 5600-XT/Intel Arc A750,Version 11,120 GB available space
1934680,Age of Mythology: Retold,Windows 10 64bit,3.6 Ghz i5 or greater or AMD equivalent and AVX support,16 GB RAM,Nvidia® GeForce® GTX 970 or AMD Radeon™ RX 570 or better,Version 12,25 GB available space
3551340,Football Manager 26,Windows 11 – with updates (23H2),Desktop: Intel Core i5-9600 or AMD Ryzen 5 2600  Laptop: Intel Core i5-1035G7 or AMD Ryzen 7 3750H,12 GB RAM,Desktop: NVIDIA GeForce RTX 2060 or AMD Radeon RX 5600 XT  Laptop: NVIDIA GeForce RTX 2060 Mobile or AMD Radeon RX 6600M,Version 11,20 GB available space
356190,Middle-earth™: Shadow of War™,Windows 10 Creators Update,"AMD FX-8350, 4.0 GHz / Intel Core i7-3770, 3.4 GHz",12 GB RAM,"AMD RX 480, 4 GB or RX580, 4GB / NVIDIA GTX 970, 4GB or GTX1060, 6GB","Version 11
Network:
Broadband Internet connection",70 GB available space
3949040,RV There Yet?,Windows 11,Ryzen 9 3900XT or equivalent,12 GB RAM,NVidia 3060 or equivalent,"Version 12
Network:
Broadband Internet connection",3200 MB available space
8870,BioShock Infinite,"*:
Windows 7 Service Pack 1 64-bit",Quad Core Processor,"4GB
Hard Disk Space:
30 GB free
Video Card:",,"11 Compatible, AMD Radeon HD 6950 / NVIDIA GeForce GTX 560
Video Card",
1203620,Enshrouded,Windows 10,Intel i7-8700 (3.7 GHz 6 Core) / AMD Ryzen 7 2700X (3.7 GHz 8 Core) or equivalent,16 GB RAM,"NVIDIA RTX 2070 Super (req. 6GB VRAM) / AMD Radeon RX 6700 XT (req. 6GB VRAM) / Intel ARC A770
Network:
Broadband Internet connection",,60 GB available space
2537590,Microsoft Flight Simulator 2024,Windows 10,AMD Ryzen 7 2700X or Intel Core i7-10700K,32 GB RAM,Radeon RX 5700 XT or GeForce RTX 2080,"Version 12
Network:
Broadband Internet connection",50 GB available space
289070,Sid Meier’s Civilization® VI,"*:
Windows 7x64 / Windows 8.1x64 / Windows 10x64",Fourth Generation Intel Core i5 2.5 Ghz or AMD FX8350 4.0 Ghz or greater,8 GB RAM,2GB & AMD 7970 or nVidia 770 or greater,Version 11,23 GB available space
105600,Terraria,"Windows 7, 8/8.1, 10",Dual Core 3.0 Ghz,"4GB
Hard Disk Space: 200MB
Video Card: 256mb Video Memory, capable of Shader Model 2.0+",256mb Video,®: 9.0c or Greater,
2807960,Battlefield™ 6,Windows 11,"Intel Core i7-10700, AMD Ryzen 7 3700X",16 GB RAM,"Nvidia RTX 3060Ti, AMD Radeon RX 6700-XT, Intel Arc B580","Version 12
Network:
Broadband Internet connection",80 GB available space
3265230,Cursed Companions,Windows 11,Intel Core i5-9400F,16 GB RAM,"NVIDIA GeForce GTX 1650
Network:
Broadband Internet connection",,
1285190,Borderlands 4,Windows 10 / Windows 11,Intel Core i7-12700 / AMD Ryzen 7 5800X,32 GB RAM,NVIDIA GeForce RTX 3080 / AMD Radeon RX 6800 XT / Intel Arc B580,,100 GB available space
